variant,n,k,time_s,rss_kb
standard,50365,200,0.152336516,981312
two-pass,50365,200,0.112634591,825480
standard,100516,200,0.326984336,1143896
two-pass,100516,200,0.271355222,894504
standard,150632,200,0.538160026,1308372
two-pass,150632,200,0.471339314,898968
standard,200730,200,0.755030647,1468792
two-pass,200730,200,0.686594063,846196
standard,250816,200,0.992047525,1631160
two-pass,250816,200,0.941620698,1107476
standard,300894,200,1.212794237,1797552
two-pass,300894,200,1.169105718,922772
standard,350966,200,1.422712498,1955848
two-pass,350966,200,1.426129302,870040
standard,401033,200,1.703968648,2118188
two-pass,401033,200,1.68794613,988648
standard,451095,200,1.868473689,2280472
two-pass,451095,200,1.911762857,881364
standard,501155,200,2.108330078,2442780
two-pass,501155,200,2.183140418,938248
