variant,k,time_s,rss_kb
standard,50,0.005275009,142512
standard,100,0.006808129,142512
standard,150,0.010206164,142512
standard,200,0.013402034,142512
standard,250,0.016743579,142512
standard,300,0.020105608,142512
standard,350,0.023617887,142512
standard,400,0.027541095,142512
standard,450,0.031135106,142512
standard,500,0.035220902,142512
standard,550,0.039337325,142512
standard,600,0.043050351,142512
standard,650,0.047090262,142512
standard,700,0.050892682,142512
standard,750,0.054738558,142512
standard,800,0.058425508,142512
standard,850,0.06204173,142512
standard,900,0.066099567,142512
standard,950,0.070159456,142512
standard,1000,0.073671118,142512
two-pass,50,0.005545562,140508
two-pass,100,0.00765773,140508
two-pass,150,0.011585591,140508
two-pass,200,0.015281927,140508
two-pass,250,0.019127196,140508
two-pass,300,0.022993085,140508
two-pass,350,0.026725147,140508
two-pass,400,0.030646432,140508
two-pass,450,0.034508387,140508
two-pass,500,0.038192185,140508
two-pass,550,0.042010666,140508
two-pass,600,0.046045362,140508
two-pass,650,0.049591058,140508
two-pass,700,0.053451418,140508
two-pass,750,0.057278633,140508
two-pass,800,0.060739385,140508
two-pass,850,0.064985965,140508
two-pass,900,0.068686407,140508
two-pass,950,0.072560771,140508
two-pass,1000,0.076315894,140508
