k,ortho_loss_standard,ortho_loss_regenerated,basis_drift_fro,solution_deviation_l2
20,9.582128937706465e-15,9.582128937706465e-15,0.0,6.661338147750939e-16
40,2.996211915125189e-14,2.996211915125189e-14,0.0,5.890955336706682e-14
60,2.1443007296409975e-11,2.1443007296409975e-11,0.0,5.929291763351966e-11
80,4.635492785367304e-6,4.635492785367304e-6,0.0,0.000014327379346350468
100,0.40998169743275176,0.40998169743275176,0.0,13.101546931704867
120,2.3579264348890123,2.3579264348890123,0.0,14.880184018093747
140,3.7532009997635285,3.7532009997635285,0.0,17.225438456268634
160,4.493270437412068,4.493270437412068,0.0,56.86938541387148
180,4.676323793934078,4.676323793934078,0.0,56.422503230847916
200,4.93437886810794,4.93437886810794,0.0,58.14215690727367
220,6.618954523287862,6.618954523287862,0.0,61.45336936648757
240,7.520825835619896,7.520825835619896,0.0,73.88959829504567
260,8.083284026164813,8.083284026164813,0.0,23.665473370119916
280,8.64982259789816,8.64982259789816,0.0,24.600280873661923
300,9.501766553181584,9.501766553181584,0.0,26.01993031354005
320,10.492658935837794,10.492658935837794,0.0,198.29623893195188
340,11.562649672994654,11.562649672994654,0.0,209.46576616279154
360,12.025267979694375,12.025267979694375,0.0,212.70454152328423
380,13.066319486576225,13.066319486576225,0.0,227.25143841381393
400,14.215417932822378,14.215417932822378,0.0,235.15735203863827
420,14.799186499426055,14.799186499426055,0.0,31.620141539110453
440,15.821678504776287,15.821678504776287,0.0,31.580485650360526
460,16.49317713316002,16.49317713316002,0.0,32.806945114986014
480,17.631091064840472,17.631091064840472,0.0,34.47535343365202
500,18.54100305647113,18.54100305647113,0.0,79.9807259434621
