variant,k,time_s,rss_kb
standard,50,0.704727694,1269836
standard,100,1.377133448,1662020
standard,150,1.939170979,2054212
standard,200,2.618414187,2446396
standard,250,3.463819606,2838588
standard,300,4.128523899,3230772
standard,350,4.933462641,3622964
standard,400,5.46674189,4015148
standard,450,6.325907817,4407332
standard,500,6.873225448,4799524
two-pass,50,0.887501013,939220
two-pass,100,1.6997682250000001,939220
two-pass,150,2.451896376,939220
two-pass,200,3.403553928,939220
two-pass,250,4.310377306,939220
two-pass,300,5.007859399,939220
two-pass,350,5.722343872,939220
two-pass,400,6.416920697,939220
two-pass,450,7.231167467,939220
two-pass,500,8.235669132,939220
