variant,k,time_s,rss_kb
standard,50,0.040830207,145204
standard,100,0.08310603,145204
standard,150,0.124418448,145204
standard,200,0.165509817,159956
standard,250,0.206933159,179628
standard,300,0.24848028,199304
standard,350,0.291516205,218980
standard,400,0.333221279,238656
standard,450,0.375215973,258328
standard,500,0.456134242,278004
standard,550,0.458138564,297680
standard,600,0.500416622,317356
standard,650,0.542104585,337028
standard,700,0.635317165,356704
standard,750,0.62600559,376380
standard,800,0.66713802,396056
standard,850,0.713116761,415728
standard,900,0.751150481,435404
standard,950,0.791981431,455080
standard,1000,0.897303434,474756
two-pass,50,0.044440949,145204
two-pass,100,0.087661486,145204
two-pass,150,0.13150475,145204
two-pass,200,0.175407077,145204
two-pass,250,0.219513962,145204
two-pass,300,0.263910708,145204
two-pass,350,0.30852774,145204
two-pass,400,0.351461751,145204
two-pass,450,0.397252948,145204
two-pass,500,0.439963825,145204
two-pass,550,0.484892331,145204
two-pass,600,0.528634227,145204
two-pass,650,0.573169936,145204
two-pass,700,0.617106779,145204
two-pass,750,0.660271481,145204
two-pass,800,0.704781446,145204
two-pass,850,0.749543017,145204
two-pass,900,0.793281486,145204
two-pass,950,0.835328841,145204
two-pass,1000,0.879336459,145204
